words	frequency	left-entropy	right-entropy	combinality
克 	 1557 	 5.054810 	 6.267682 	 0 	 
近 	 1554 	 5.554406 	 5.015481 	 0 	 
老 	 1547 	 6.414218 	 6.227813 	 0 	 
节 	 1547 	 5.258323 	 5.209140 	 0 	 
职 	 1542 	 6.280391 	 2.590419 	 0 	 
话 	 1537 	 4.718827 	 4.840078 	 0 	 
风 	 1534 	 6.730855 	 5.835963 	 0 	 
无 	 1532 	 7.011930 	 7.160585 	 0 	 
看 	 1530 	 6.768559 	 5.164820 	 0 	 
规 	 1530 	 6.531122 	 3.240223 	 0 	 
指 	 1526 	 6.985087 	 3.772552 	 0 	 
五 	 1524 	 4.695461 	 5.075034 	 0 	 
族 	 1522 	 3.219616 	 5.306442 	 0 	 
认 	 1521 	 6.580531 	 2.726926 	 0 	 
形 	 1508 	 6.498896 	 3.120673 	 0 	 
拉 	 1504 	 5.355285 	 5.512967 	 0 	 
求 	 1495 	 3.410927 	 6.308303 	 0 	 
困 	 1494 	 4.717923 	 4.212406 	 0 	 
商 	 1491 	 6.501162 	 5.303773 	 0 	 
手 	 1488 	 6.642666 	 6.426783 	 0 	 
论 	 1481 	 4.038760 	 5.958924 	 0 	 
斯 	 1460 	 5.407983 	 6.185302 	 0 	 
难 	 1447 	 5.086237 	 5.481414 	 0 	 
精 	 1446 	 5.936478 	 2.719809 	 0 	 
车 	 1436 	 6.201601 	 6.455157 	 0 	 
深 	 1433 	 6.387492 	 4.795274 	 0 	 
格 	 1428 	 4.221270 	 6.386423 	 0 	 
质 	 1426 	 4.915185 	 4.783773 	 0 	 
少 	 1425 	 5.221898 	 6.332020 	 0 	 
运 	 1424 	 7.056179 	 4.985074 	 0 	 
研 	 1409 	 6.497690 	 2.163414 	 0 	 
领导 	 1408 	 6.182161 	 5.261887 	 0 	 
原 	 1401 	 5.792296 	 5.018205 	 0 	 
处 	 1394 	 6.934691 	 5.497924 	 0 	 
想 	 1380 	 4.340816 	 5.978785 	 0 	 
台 	 1378 	 5.913175 	 5.795659 	 0 	 
条 	 1377 	 5.841285 	 5.406049 	 0 	 
受 	 1375 	 5.840984 	 6.231016 	 0 	 
李 	 1366 	 3.469677 	 6.497943 	 0 	 
施 	 1363 	 2.830325 	 5.263358 	 0 	 
式 	 1356 	 3.466492 	 5.513811 	 0 	 
他们 	 1354 	 3.955630 	 7.263415 	 0 	 
件 	 1350 	 3.519754 	 5.214215 	 0 	 
图 	 1345 	 4.085415 	 3.513182 	 0 	 
气 	 1337 	 5.916275 	 5.825370 	 0 	 
观 	 1336 	 6.269437 	 4.849608 	 0 	 
级 	 1336 	 4.611699 	 6.282123 	 0 	 
群 	 1333 	 6.392973 	 1.987565 	 0 	 
进行 	 1332 	 7.571642 	 6.583709 	 0 	 
春 	 1329 	 5.497069 	 4.827105 	 0 	 
数 	 1325 	 5.948044 	 5.964566 	 0 	 
又 	 1324 	 6.091789 	 7.198575 	 0 	 
的一 	 1317 	 7.653607 	 5.116119 	 0 	 
女 	 1317 	 4.567394 	 4.954073 	 0 	 
县 	 1312 	 6.648569 	 6.719895 	 0 	 
传 	 1298 	 5.945009 	 4.959519 	 0 	 
改革 	 1291 	 5.708370 	 4.791675 	 0 	 
别 	 1290 	 3.776947 	 5.916327 	 0 	 
中央 	 1287 	 4.286708 	 5.476446 	 0 	 
造 	 1283 	 4.986579 	 5.612466 	 0 	 
创 	 1282 	 6.501656 	 4.022125 	 0 	 
剧 	 1282 	 4.671280 	 5.893310 	 0 	 
世界 	 1281 	 5.841022 	 6.058191 	 0 	 
